university,label,label_name,definition,related_text,context_file,gold (1/0),annotator_note
Lakehead University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,(nothing lexically related -- check the context file),context/Lakehead_University.txt,0,no dictation/voice tool named
Laurentian University,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,(nothing lexically related -- check the context file),context/Laurentian_University.txt,0,no ASL mention anywhere
Laurentian University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.",Same-day individual counselling | Group counselling | Virtual counselling,context/Laurentian_University.txt,1,explicit 'Same-day individual counselling'
Laurentian University,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Laurentian_University.txt,0,no assignment deadline mention
Laurentian University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Personalized accommodation plans each term | Personalized accommodation plans each term | Financial Need: Your application will be assessed based on your and your family's (if applicable) financial situation to determine your financial need.,context/Laurentian_University.txt,1,explicit 'each term'
Laurentian University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP. | Note-taking and lecture recording options | Note-taking and lecture recording options,context/Laurentian_University.txt,0,"OSAP course-load thresholds only, not an accommodation option"
McMaster University,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.","Accessible housing, campus navigation & testing centre | Quiet, accessible exam spaces | Quiet, accessible exam spaces",context/McMaster_University.txt,0,"housing/navigation mentioned, no parking/transit"
McMaster University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",Kevin Collins Abilities Scholarship | McMaster Achievement Awards of Excellence | NEADS National Student Awards & other external funds,context/McMaster_University.txt,1,named scholarships listed
McMaster University,format_braille,Braille materials,Course materials produced in Braille.,(nothing lexically related -- check the context file),context/McMaster_University.txt,0,formats never include Braille
McMaster University,transition_program,Transition programme,Structured support for the high-school-to-university transition.,Transition support program for new students | Note-taking support ￼ ￼ | Note-taking support (manual or digital),context/McMaster_University.txt,1,explicit 'Transition support program for new students'
Nipissing University,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.","Accessible campus: ramps, elevators, washrooms, and parking | Campus Security (24/7): 705‑498‑7244 | An Accessibility Consultant meets with the student to discuss their accommodation needs. Appointments are available via audio/video conferencing, telephone or in person on campus.",context/Nipissing_University.txt,1,"explicit '...washrooms, and parking'"
Nipissing University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",Kevin Collins Abilities Scholarship,context/Nipissing_University.txt,1,named 'Kevin Collins Abilities Scholarship'
Nipissing University,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"ADHD: Psycho-educational assessment (completed by a registered psychologist), SAS Medical Documentation form for Mental Health and ADHD (by a qualified healthcare professional with experience in the diagnosis and treatment of ADHD is required)",context/Nipissing_University.txt,0,no confidentiality/non-disclosure clause found
Nipissing University,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Note-taking and lecture recording assistance | Note-taking and lecture recording assistance | Alternate formats: audio, large print, PDFs",context/Nipissing_University.txt,1,explicit 'lecture recording assistance'
Nipissing University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Counsellor Assisted E-Support | Support for physical and sensory disabilities | Assistive technology and adaptive software support,context/Nipissing_University.txt,0,"'Counsellor Assisted E-Support' is a counselling service, not a peer mentorship program"
Nipissing University,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Extra time, breaks, and quiet rooms for exams | Extra time, breaks, and quiet rooms for exams | Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP.",context/Nipissing_University.txt,0,no captioning/CART mention anywhere
OCAD University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",Note-taking support | Single counselling sessions | Same day counselling services,context/OCAD_University.txt,0,no group format mentioned
OCAD University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.",Same day counselling services | Single counselling sessions | Short-term counselling services,context/OCAD_University.txt,1,explicit 'Same day counselling services'
OCAD University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, accessible PDFs | Alternate formats: audio, Braille, large print, accessible PDFs",context/OCAD_University.txt,1,
OCAD University,format_large_print,Large print materials,Enlarged-text versions of course materials.,"Alternate formats: audio, large print, accessible PDFs | Alternate formats: audio, Braille, large print, accessible PDFs",context/OCAD_University.txt,1,
OCAD University,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Alternate formats: audio, large print, accessible PDFs | Alternate formats: audio, Braille, large print, accessible PDFs",context/OCAD_University.txt,0,"only note-taking mentioned, no recording"
OCAD University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Deadline extensions and reduced course load options | Enrolled in an eligible course load. | Extra time, breaks, and private rooms for exams",context/OCAD_University.txt,1,explicit 'reduced course load options'
OCAD University,screen_reader,Screen readers,Screen reading software named specifically.,(nothing lexically related -- check the context file),context/OCAD_University.txt,0,"assistive tech mentioned generically, not named"
Ontario Tech University,accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Accessible campus navigation tools | Mobility impairments (wheelchair/scooter use, difficulty walking/climbing stairs, temporary injuries) | Email all of your documents to studentaccessibility@ontariotechu.ca with the subject line Admissions Consideration.",context/Ontario_Tech_University.txt,0,"generic 'navigation tools', no ramps/elevators named"
Ontario Tech University,format_large_print,Large print materials,Enlarged-text versions of course materials.,"Alternate formats: audio, large print, PDFs | Alternate formats: audio, large print, Braille, PDFs",context/Ontario_Tech_University.txt,1,
Ontario Tech University,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Intake sessions | Alternate formats: audio, large print, PDFs | A signed consent to release information form.",context/Ontario_Tech_University.txt,0,"registration process is email-only, no described intake appointment"
Ontario Tech University,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Personalized accommodation plans each term | Personalized accommodation plans each term | A verification of accommodations form indicating whether or not you received disability accommodations (e.g. accommodation plan, IEP, IPRC, etc.). This form must be completed by an authorized professional and can be submitted either directly by the institution or by you.",context/Ontario_Tech_University.txt,1,explicit 'Personalized accommodation plans each term'
Queen's University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Therapy groups | personality disorders | Individualized accommodation plans under ADA/Section 504,context/Queen_s_University.txt,1,explicit 'One-on-one appointments'
Queen's University,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Extra time, scheduled breaks, private exam spaces | Extra time, scheduled breaks, private exam spaces | Individualized accommodation plans under ADA/Section 504",context/Queen_s_University.txt,1,explicit 'private exam spaces'
Queen's University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Submit documentation that meets QSAS documentation criteria. If you do not have documentation that meets our criteria at the time of registration, please upload the documentation you currently have which indicates the need for accommodations. | Online accommodation portal (Ventus) | Online accommodation portal (Ventus)",context/Queen_s_University.txt,1,explicit provision to upload incomplete documentation and register
Queen's University,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.","Note-taking support (peer providers, audio tools) | Note-taking support (peer providers, audio tools) | Support: captioning services, FM systems, assistive audio devices, note-taking support.",context/Queen_s_University.txt,1,
Queen's University,screen_reader,Screen readers,Screen reading software named specifically.,"Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids . | Assistive technology lab: screen readers, adaptive software | Assistive technology lab: screen readers, adaptive software/hardware",context/Queen_s_University.txt,1,explicit 'screen readers'
Queen's University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,(nothing lexically related -- check the context file),context/Queen_s_University.txt,0,no dictation/voice tool named
TMU,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,"Support: flexible deadlines, attendance and exam modifications, rest breaks, accommodation plans tailored to health-related barriers . | Extended time & scheduled breaks for exams",context/TMU.txt,1,explicit 'flexible deadlines'
TMU,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Quiet, private or low-sensory exam rooms | Quiet, private or low-sensory exam rooms | Accessible campus spaces (e.g., SLC support)",context/TMU.txt,1,"explicit 'Quiet, private...exam rooms'"
TMU,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: accessible PDFs, audio, large print | Alternate formats: accessible PDFs, audio, large print | ERO intake form - We'll email you with information about your accommodation plan.)",context/TMU.txt,1,
TMU,transition_program,Transition programme,Structured support for the high-school-to-university transition.,"Transition programs (e.g., SHIFT orientation) | Workshops & academic strategy support | Accessible campus spaces (e.g., SLC support)",context/TMU.txt,1,"explicit 'Transition programs (e.g., SHIFT orientation)'"
Trent University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Individual Counselling | personality disorders | Personalized accommodation plans each term,context/Trent_University.txt,1,explicit 'Individual Counselling'
Trent University,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Complete the pre-intake questionnaire - All students who register with SAS begin the formal intake registration process by completing a Pre-Intake Questionnaire. | After you have completed and submitted the questionnaire, you will be contacted by a SAS staff member within 3 to 5 business days to schedule an intake appointment with one of our SAS Advisors. | SAS Disability Documentation Form",context/Trent_University.txt,1,explicit pre-intake questionnaire + intake appointment
Trent University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"If you have older or incomplete documentation, it is possible that only minimal accommodation can be implemented until more current or complete documentation is provided. | SAS Disability Documentation Form | Temporary accommodations available",context/Trent_University.txt,1,explicit minimal-accommodation-with-incomplete-documentation policy
Trent University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Crisis Support | 2SLGBTQ+ Support | Culturally Affirming Mental Health Support,context/Trent_University.txt,0,no student-to-student mentorship program named
Trent University,screen_reader,Screen readers,Screen reading software named specifically.,(nothing lexically related -- check the context file),context/Trent_University.txt,0,"'adaptive software' generic, screen readers not named specifically"
Trent University (Durham GTA),asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,"This questionnaire is designed to connect you with an appropriate SAS Advisor, and helps us to anticipate questions or concerns that you may have prior to your first appointment.",context/Trent_University_Durham_GTA.txt,0,no ASL mention
Trent University (Durham GTA),counselling_individual,Individual counselling,One-to-one counselling or therapy.,Individual Counselling | personality disorders | Private Therapy with Student Health Benefits,context/Trent_University_Durham_GTA.txt,1,explicit 'Individual Counselling'
Trent University (Durham GTA),deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Trent_University_Durham_GTA.txt,0,no assignment deadline mention
Trent University (Durham GTA),exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Exam support: extra time, breaks, quiet/private rooms | Exam support: extra time, breaks, quiet/private rooms",context/Trent_University_Durham_GTA.txt,1,explicit 'breaks'
Trent University (Durham GTA),exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Exam support: extra time, breaks, quiet/private rooms | Exam support: extra time, breaks, quiet/private rooms | Individual Counselling",context/Trent_University_Durham_GTA.txt,1,explicit 'quiet/private rooms'
Trent University (Durham GTA),interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Interim accommodations for temporary issues (e.g., concussion) | Interim accommodations for temporary issues (e.g., concussion) | If you have older or incomplete documentation, it is possible that only minimal accommodation can be implemented until more current or complete documentation is provided.",context/Trent_University_Durham_GTA.txt,1,explicit 'Interim accommodations for temporary issues'
Trent University (Durham GTA),peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Crisis Support | 2SLGBTQ+ Support | Culturally Affirming Mental Health Support,context/Trent_University_Durham_GTA.txt,0,no mentorship program named
Trent University (Durham GTA),realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Exam support: extra time, breaks, quiet/private rooms | Exam support: extra time, breaks, quiet/private rooms | This questionnaire will take approximately 15 minutes to complete, and it will ""time out"" after 30 minutes.",context/Trent_University_Durham_GTA.txt,0,no captioning/CART mention
University of Guelph,accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Help with accessible housing and campus navigation | Accessible formats: audio, PDF, large print | Extra time, breaks, and quiet rooms for exams",context/University_of_Guelph.txt,0,generic housing mention only
University of Guelph,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,"If you are already registered and assigned an SAS Advisor, log in to the SAS student portal, then click on ""additional documentation"" on the left.",context/University_of_Guelph.txt,0,no ASL mention
University of Guelph,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"personality disorders | Same Day Drop-In Counselling | Drop-in Counselling for Black, Racialized and Students of Colour",context/University_of_Guelph.txt,0,"drop-in counselling, not explicitly one-to-one"
University of Guelph,exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Extra time, breaks, and quiet rooms for exams | Extra time, breaks, and quiet rooms for exams",context/University_of_Guelph.txt,1,explicit 'breaks'
University of Guelph,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Note-taking, lecture recording, and seating accommodations | Note-taking, lecture recording, and seating accommodations | Communicate with Instructors - Discuss Your Accommodations (if needed)",context/University_of_Guelph.txt,0,no explicit 'personalized plan' phrase
University of Guelph,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Part-time OSAP: If you are taking between 20% and 59% of a full course load, you'll apply for part-time OSAP. Students with disabilities taking 40% of a course load have the option to apply for either full-time or part-time OSAP. | Reduced course load options | Reduced course load options",context/University_of_Guelph.txt,1,explicit 'Reduced course load options'
University of Guelph-Humber,accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Help with accessible housing and campus navigation | Accessible formats: audio, PDF, large print | Extra time, breaks, and quiet rooms for exams",context/University_of_Guelph-Humber.txt,0,generic housing mention only
University of Guelph-Humber,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,"Deadline extensions and flexible attendance | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | Some restrictions on accommodations may apply depending on academic deadlines throughout each semester.",context/University_of_Guelph-Humber.txt,1,explicit 'Deadline extensions'
University of Guelph-Humber,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Note-taking, lecture recording, and seating accommodations | Note-taking, lecture recording, and seating accommodations | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations",context/University_of_Guelph-Humber.txt,1,explicit 'lecture recording'
University of Guelph-Humber,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Note-taking, lecture recording, and seating accommodations | Note-taking, lecture recording, and seating accommodations | Communicate with Instructors - Discuss Your Accommodations (if needed)",context/University_of_Guelph-Humber.txt,0,no explicit 'personalized plan' phrase
University of Guelph-Humber,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Part-time OSAP: If you are taking between 20% and 59% of a full course load, you'll apply for part-time OSAP. Students with disabilities taking 40% of a course load have the option to apply for either full-time or part-time OSAP. | Reduced course load options | Reduced course load options",context/University_of_Guelph-Humber.txt,1,explicit 'Reduced course load options'
University of Guelph-Humber,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | Digital textbooks, screen-reader-friendly content, accessible formats (audio, braille)",context/University_of_Guelph-Humber.txt,1,explicit 'speech-to-text'
University of Ottawa,accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Alternate formats: audio, large print, accessible PDFs | Alternate formats: audio, Braille, large print, accessible PDFs | Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries",context/University_of_Ottawa.txt,0,no ramps/elevators named
University of Ottawa,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,Confidential service; diagnoses not shared with professors | Confidential service; diagnoses not shared with professors,context/University_of_Ottawa.txt,1,explicit 'diagnoses not shared with professors'
University of Ottawa,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, accessible PDFs | Alternate formats: audio, Braille, large print, accessible PDFs | Enter your disability-related information and upload your documentation.",context/University_of_Ottawa.txt,1,
University of Ottawa,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Vision Loss or Impairment: Academic Accommodations Documentation of Vision or Hearing Impairment (PDF), CNIB Vision Assessment, CNIB Card (for interim academic accommodations of one term) | Interim accommodations for temporary issues (e.g., concussion) | Interim accommodations for temporary issues (e.g., concussion)",context/University_of_Ottawa.txt,1,explicit 'Interim accommodations for temporary issues'
University of Ottawa,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Assistive tech: screen readers, speech-to-text, mind-mapping tools | Assistive tech: screen readers, speech-to-text, mind-mapping tools",context/University_of_Ottawa.txt,1,explicit 'speech-to-text'
University of Toronto Mississauga,accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Accessible classrooms/buildings | Exam accommodations: quiet rooms, alternate formats | Modified classroom seating",context/University_of_Toronto_Mississauga.txt,0,no housing accommodation mentioned
University of Toronto Mississauga,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.","Accessible campus: ramps, elevators, automatic doors, accessible parking | Accessible electronic documents | Accessible classrooms/buildings",context/University_of_Toronto_Mississauga.txt,1,explicit 'accessible parking'
University of Toronto Mississauga,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.",Same-day counselling | On-location counselling | Short-term intensive counselling,context/University_of_Toronto_Mississauga.txt,1,explicit 'Same-day counselling'
University of Toronto Mississauga,format_audio,Audio format materials,Course materials in audio form.,"Exam accommodations: extra time, alternate formats | Exam accommodations: quiet rooms, alternate formats",context/University_of_Toronto_Mississauga.txt,0,"only generic 'alternate formats', audio not named"
University of Toronto Mississauga,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Complete Student Intake Form | After you submit a complete Student Intake Package, you will be contacted to schedule an appointment with an accessibility advisor. | Complete online form.",context/University_of_Toronto_Mississauga.txt,1,explicit intake form + accessibility advisor appointment
University of Toronto Scarborough,accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Accessible campus: ramps, elevators, automatic doors, accessible parking | Accessible classrooms/buildings | Accessible electronic documents",context/University_of_Toronto_Scarborough.txt,1,"explicit 'ramps, elevators, automatic doors'"
University of Toronto Scarborough,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.","Accessible campus: ramps, elevators, automatic doors, accessible parking | Accessible electronic documents | Accessible classrooms/buildings",context/University_of_Toronto_Scarborough.txt,1,explicit 'accessible parking'
University of Toronto Scarborough,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,ASL interpretation,context/University_of_Toronto_Scarborough.txt,1,explicit 'ASL...upon request'
University of Toronto Scarborough,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"Obtain Certificate of Disbility Form from health care practitioner who is familiar with your disability, whose scope of practice includes your disability and who is licensed to make a diagnosis.",context/University_of_Toronto_Scarborough.txt,0,no confidentiality clause found
University of Toronto Scarborough,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Same-day counselling | On-location counselling | Short-term intensive counselling,context/University_of_Toronto_Scarborough.txt,0,no explicit one-to-one wording
University of Toronto St.George,accessible_parking_transit,Accessible parking or transit,"Accessible parking permits, campus shuttle or paratransit support.",Accessible parking & transit: on-campus support for mobility needs | Accessible electronic documents | Accessible classrooms/buildings,context/University_of_Toronto_St.George.txt,1,explicit 'Accessible parking & transit'
University of Toronto St.George,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,"ASL interpretation | Lecture support: ASL interpretation, real-time captioning | Lecture support: note-taking, ASL interpretation, real-time captioning",context/University_of_Toronto_St.George.txt,1,explicit 'ASL interpretation'
University of Toronto St.George,format_audio,Audio format materials,Course materials in audio form.,"Alternative formats: accessible PDFs, large print | Alternative formats: Braille, accessible PDFs, large print",context/University_of_Toronto_St.George.txt,0,"formats list Braille/PDF/large print, no audio named"
University of Toronto St.George,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Temporary exam accommodations | Upload documentations at the end of the form. | Exam accommodations: private room, assistive tech",context/University_of_Toronto_St.George.txt,0,no interim-without-documentation policy stated
University of Toronto St.George,lecture_recording,Lecture recording,Permission or equipment to record lectures.,Captioned videos and lectures | Modified classroom seating | Adjustable classroom furniture,context/University_of_Toronto_St.George.txt,0,"not mentioned, only ASL/captioning/note-taking"
University of Toronto St.George,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Activate UTORid and Uoft email | Short-term intensive counselling | Chronic conditions affecting mobility: such as multiple sclerosis, cerebral palsy, Parkinson's disease Low vision / partial sight / blindness Hearing loss or Deafness, including needing ASL or captioning support Chronic health issues that may necessitate flexible deadlines or missing classes (e.g., cancer, severe asthma) Short-term impairments like convalescing from surgery, concussion, or orthopedic injuries (e.g., broken arm)",context/University_of_Toronto_St.George.txt,0,no 'each term' plan language found
University of Toronto St.George,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Real-time captioning (CART) | Lecture support: ASL interpretation, real-time captioning | Lecture support: note-taking, ASL interpretation, real-time captioning",context/University_of_Toronto_St.George.txt,1,explicit 'real-time captioning'
University of Toronto St.George,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Assistive technology: screen readers, voice-to-text, ergonomic tools | Assistive technology: screen readers, voice-to-text, ergonomic tools",context/University_of_Toronto_St.George.txt,1,explicit 'voice-to-text'
University of Toronto St.George,transition_program,Transition programme,Structured support for the high-school-to-university transition.,Transition programs: support for high school to university shift | Support Includes: | UTM-Specific Support Services,context/University_of_Toronto_St.George.txt,1,explicit 'Transition programs: support for high school to university shift'
University of Waterloo,accessible_buildings,Physically accessible buildings,"Ramps, elevators, automatic doors, accessible washrooms.","Accessible entrances, buildings, and classrooms | Reserved seating and accessible housing | Lecture materials in accessible formats",context/University_of_Waterloo.txt,1,"explicit 'Accessible entrances, buildings, and classrooms'"
University of Waterloo,accessible_housing,Accessible housing / residence,Adapted residence rooms or priority accessible housing.,"Reserved seating and accessible housing | Accessible entrances, buildings, and classrooms | Accessible housing and campus navigation support",context/University_of_Waterloo.txt,1,explicit 'Reserved seating and accessible housing'
University of Waterloo,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",Brief counselling | Note-taking support | Single session counselling,context/University_of_Waterloo.txt,0,no group format mentioned
University of Waterloo,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,"Deadline extensions, flexible attendance",context/University_of_Waterloo.txt,1,"explicit 'Deadline extensions, flexible attendance'"
University of Waterloo,format_braille,Braille materials,Course materials produced in Braille.,(nothing lexically related -- check the context file),context/University_of_Waterloo.txt,0,no Braille named anywhere
University of Waterloo,format_large_print,Large print materials,Enlarged-text versions of course materials.,"Alternate formats (large-print, digital text)",context/University_of_Waterloo.txt,1,explicit 'large-print'
