university,label,label_name,definition,related_text,context_file,gold,annotator_note
University of Waterloo,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Submit documentation via: in-person (Needles Hall North, Room 1401), Sendit, email (access@uwaterloo.ca), fax (519-746-2401) | Accessible entrances, buildings, and classrooms | Modified seating or classroom access",context/University_of_Waterloo.txt,1,explicit 'Reserved seating and accessible housing'
York University (Keele),accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources. | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.",context/York_University_Keele.txt,0,no housing mention anywhere
Trent University (Durham GTA),format_accessible_digital,Accessible digital formats,"Screen-reader-compatible PDFs, e-text and other digital alternates.","Alternate formats: audio, large print, Braille, PDFs | Alternate formats: audio, large print, PDFs | We appreciate your patience while we review your information and match you with the appropriate Advisor.",context/Trent_University_Durham_GTA.txt,1,explicit 'PDFs' in alternate formats list
Wilfrid Laurier University,format_accessible_digital,Accessible digital formats,"Screen-reader-compatible PDFs, e-text and other digital alternates.","Alternate formats: audio, large print, Braille, accessible PDFs | Alternate formats: audio, large print, accessible PDFs | Learning Disability: Learning Disability Documentation Requirements PDF, Psycho-educational assessment (completed using Adult Measures)",context/Wilfrid_Laurier_University.txt,1,explicit 'accessible PDFs'
York University (Markham),format_accessible_digital,Accessible digital formats,"Screen-reader-compatible PDFs, e-text and other digital alternates.","Alternate format materials (audio, large print, PDF) | Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids . | Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility .",context/York_University_Markham.txt,1,explicit 'PDF' in alternate format materials
OCAD University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Support for learning, mental health, and temporary conditions | Support for physical, sensory, and temporary conditions | Note-taking support and ASL interpretation available",context/OCAD_University.txt,0,no mentorship program named
University of Guelph,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Orientation programs (START Accessible), peer mentoring, coaching for academic and life skills | One-on-one advisor support and peer coaching | Orientation & Peer Assistance",context/University_of_Guelph.txt,1,explicit 'peer mentoring' under Orientation & Peer Assistance
University of Toronto Scarborough,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Peer note-taking | Student Services Hub: Intake location for all disability-related documentation and support coordination | Transition support: help with accessibility during university transition,context/University_of_Toronto_Scarborough.txt,0,"'Peer note-taking' is notes support, not mentorship"
University of Toronto St.George,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Mental health: free counselling sessions, peer support groups | Chronic conditions affecting mobility: such as multiple sclerosis, cerebral palsy, Parkinson's disease Low vision / partial sight / blindness Hearing loss or Deafness, including needing ASL or captioning support Chronic health issues that may necessitate flexible deadlines or missing classes (e.g., cancer, severe asthma) Short-term impairments like convalescing from surgery, concussion, or orthopedic injuries (e.g., broken arm)Mobility impairments: e.g., wheelchair or scooter users, difficulty climbing stairs Dexterity/functional limitations: challenges with writing or using a keyboard due to arthritis, repetitive strain injuries, broken limbs, etc. | Chronic conditions affecting mobility: such as multiple sclerosis, cerebral palsy, Parkinson's disease Low vision / partial sight / blindness Hearing loss or Deafness, including needing ASL or captioning support Chronic health issues that may necessitate flexible deadlines or missing classes (e.g., cancer, severe asthma) Short-term impairments like convalescing from surgery, concussion, or orthopedic injuries (e.g., broken arm)",context/University_of_Toronto_St.George.txt,1,explicit 'peer support groups' under mental health accommodations
University of Waterloo,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Note-taking and peer support services | Support for accessible documents and orientation | Accessible housing and campus navigation support,context/University_of_Waterloo.txt,0,"'peer support services' reads as peer-assisted note-taking, not a mentorship program -- borderline, recommend a second look"
York University (Keele),peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids . | Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: flexible deadlines, attendance and exam modifications, rest breaks, accommodation plans tailored to health-related barriers .",context/York_University_Keele.txt,0,no mentorship program named
York University (Keele),realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Support: captioning services, FM systems, assistive audio devices, note-taking support. | have Ontario residency, that is, have lived in Ontario for at least 12 consecutive months without attending full-time postsecondary school. | register in full-time studies for the session",context/York_University_Keele.txt,0,no captioning/CART mention anywhere
