university,label,label_name,definition,related_text,context_file,gold,annotator_note
Carleton University,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Carleton_University.txt,,
Carleton University,format_braille,Braille materials,Course materials produced in Braille.,"Alternate formats: audio, Braille, accessible PDFs",context/Carleton_University.txt,,
Carleton University,format_large_print,Large print materials,Enlarged-text versions of course materials.,(nothing lexically related -- check the context file),context/Carleton_University.txt,,
Carleton University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Peer note-taking and lecture recording available | Confidential support through the Paul Menton Centre | Assistive technology and adaptive software support,context/Carleton_University.txt,,
Carleton University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Personalized accommodation plans created each term | Attention deficit / Hyperactivity Disorder (ADHD): copy of your latest comprehensive psychoeducational assessment (completed by a registered psychologist or psychological associate), an assessment completed within the last 5 years (or at the age of 18 years or older), PMC Documentation of ADHD Form completed by a regulated health care practitioner | FIVE: Attend your intake appointment - When requesting an intake appointment, you have the options of selecting an in-person or a virtual meeting with a PMC Coordinator. (If you’re attending an in-person intake appointment, please note that the Paul Menton Centre is located in Room 501 of the Nideyinàn Building (NN).",context/Carleton_University.txt,,
Carleton University,screen_reader,Screen readers,Screen reading software named specifically.,(nothing lexically related -- check the context file),context/Carleton_University.txt,,
Lakehead University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.","Lakehead University offers 1:1 in-person, virtual counselling services | Support for physical, sensory, chronic, and temporary conditions | Support for learning, mental health, and temporary conditions",context/Lakehead_University.txt,,
Lakehead University,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",Note-taking support and lecture recording available,context/Lakehead_University.txt,,
Lakehead University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,(nothing lexically related -- check the context file),context/Lakehead_University.txt,,
Lakehead University,transition_program,Transition programme,"Structured support for entering students, including orientation programmes and high-school-to-university transition programmes.","Satisfactory Academic Progress: You must demonstrate academic progress within your program, defined as successfully completing at least 60% (pass) of a full course load of your program year while receiving OSAP funding. For students with a permanent disability, this is 40%. | Approved Institution and Program: Both Lakehead campuses (Thunder Bay and Orillia) are approved institutions. You must be enrolled in an OSAP-approved program that is at least 12 weeks in length and leads to a degree, diploma, or certificate. | Lifetime Funding Limit: Full-time students receiving OSAP have a lifetime limit of 340 weeks of post-secondary study (400 weeks for doctoral programs, and up to 520 weeks for students with a permanent disability).",context/Lakehead_University.txt,,
Laurentian University,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,(nothing lexically related -- check the context file),context/Laurentian_University.txt,,
Laurentian University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Same-day individual counselling | Laurentian University, situated in Sudbury, Ontario, adheres to the provincial guidelines for the Ontario Student Assistance Program (OSAP). This means the core eligibility criteria for OSAP funding are the same for students at Laurentian as they are for students at any other publicly funded post-secondary institution in Ontario. | Mobility impairments (e.g., wheelchair/scooter use, difficulty walking or climbing stairs, temporary injuries)",context/Laurentian_University.txt,,
Laurentian University,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Laurentian_University.txt,,
Laurentian University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Personalized accommodation plans each term | Lifetime Funding Limit: You must not have exceeded the lifetime limit of student loan funding (typically 340 weeks for most students, 400 weeks for doctoral students, or up to 520 weeks for students with a permanent disability). | To register with Accessibility Services, students must provide documentation confirming the presence of a disability or medical condition and stating whether this disability or condition is permanent or temporary.",context/Laurentian_University.txt,,
Laurentian University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP. | Approved Program of Study: You must be enrolled in an OSAP-approved program that leads to a degree, diploma, or certificate. Most undergraduate, Master's, and Doctoral programs at Laurentian are approved. If you are in a non-degree program or certain specialized certificate programs, it's best to confirm eligibility with Laurentian's Student Awards Office. | Satisfactory Academic Progress: You need to maintain satisfactory academic progress in your program of study.",context/Laurentian_University.txt,,
McMaster University,accessible_parking_transit,Accessible parking or transit,"Accessible parking, campus shuttle or paratransit support. Parking listed among a school's accessible campus facilities counts; a permit scheme need not be named.","Accessible housing, campus navigation & testing centre | Transition support program for new students | Campus Security (24/7): 905‑522‑4135",context/McMaster_University.txt,,
McMaster University,format_braille,Braille materials,Course materials produced in Braille.,(nothing lexically related -- check the context file),context/McMaster_University.txt,,
McMaster University,transition_program,Transition programme,"Structured support for entering students, including orientation programmes and high-school-to-university transition programmes.","Transition support program for new students | OSAP for Full-Time Students and OSAP for Part-Time Students are separate programs and require separate applications. So if you receive full-time OSAP one term and drop to part-time studies the next term, you’ll need to do a new application for part-time OSAP. | Meet your program coordinator - (Log in to MySAS Portal - Click “Appointment” in the menu on the left - View your appointment details in the “Approved Appointments” section on the right)",context/McMaster_University.txt,,
Nipissing University,accessible_parking_transit,Accessible parking or transit,"Accessible parking, campus shuttle or paratransit support. Parking listed among a school's accessible campus facilities counts; a permit scheme need not be named.","Accessible campus: ramps, elevators, washrooms, and parking | An Accessibility Consultant meets with the student to discuss their accommodation needs. Appointments are available via audio/video conferencing, telephone or in person on campus. | Campus Security (24/7): 705‑498‑7244",context/Nipissing_University.txt,,
Nipissing University,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",Kevin Collins Abilities Scholarship,context/Nipissing_University.txt,,
Nipissing University,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"ADHD: Psycho-educational assessment (completed by a registered psychologist), SAS Medical Documentation form for Mental Health and ADHD (by a qualified healthcare professional with experience in the diagnosis and treatment of ADHD is required) | Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP. | Mental Health: SAS Medical Documentation form for Mental Health and ADHD, A recent psycho-educational assessment* or formal letter from a family physician, psychologist, or psychiatrist* is preferred (If the former is not available, the completion of the SAS Medical Documentation form for Physical, Sensory, and Medical Disabilities)",context/Nipissing_University.txt,,
Nipissing University,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Note-taking and lecture recording assistance | An Accessibility Consultant meets with the student to discuss their accommodation needs. Appointments are available via audio/video conferencing, telephone or in person on campus. | Alternate formats: audio, large print, Braille, PDFs",context/Nipissing_University.txt,,
Nipissing University,realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Lifetime Funding Limit: You must not have exceeded the lifetime limit of student loan funding (typically 340 weeks for most students, 400 weeks for doctoral studies, or up to 520 weeks for students with a permanent disability). | First-Time Applicant Module: If you are a full-time or micro-credential student applying for the first time for the 2024–2025 or 2025–2026 school year, you will need to complete an interactive financial literacy module. | Ontario Resident: You must be an Ontario resident, generally defined by having lived in Ontario for the past 12 consecutive months, excluding time spent as a full-time post-secondary student.",context/Nipissing_University.txt,,
Nipissing University,transition_program,Transition programme,"Structured support for entering students, including orientation programmes and high-school-to-university transition programmes.","Satisfactory Academic Progress: You need to maintain satisfactory academic progress in your program of study. Nipissing states that for OSAP purposes, you're assessed on a pass/fail basis and are expected to successfully complete 60% of a full course load (or 40% if you have a permanent disability). | Approved Program of Study: You must be enrolled in an OSAP-approved program that leads to a degree, diploma, or certificate. Most undergraduate and graduate programs at Nipissing University are approved. | Student completes the Self-Identification Form and submits any supporting documentation to SAS. Documentation can be emailed to sas@nipissingu.ca.",context/Nipissing_University.txt,,
OCAD University,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.",Short-term counselling services | Same day counselling services | Single counselling sessions,context/OCAD_University.txt,,
OCAD University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Same day counselling services | Contact Student Accessibility Services to schedule a registration appointment by emailing sas@ocadu.ca or you can also make an appointment in-person, Monday to Friday, 9am to 4pm, at 230 Richmond St. W., located in the Student Wellness Centre on the 6th floor. | Short-term counselling services",context/OCAD_University.txt,,
OCAD University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, Braille, large print, accessible PDFs | Alternate formats: audio, large print, accessible PDFs",context/OCAD_University.txt,,
OCAD University,format_large_print,Large print materials,Enlarged-text versions of course materials.,"Alternate formats: audio, Braille, large print, accessible PDFs | Alternate formats: audio, large print, accessible PDFs",context/OCAD_University.txt,,
OCAD University,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Alternate formats: audio, Braille, large print, accessible PDFs | Alternate formats: audio, large print, accessible PDFs",context/OCAD_University.txt,,
OCAD University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Deadline extensions and reduced course load options | Enrolled in an eligible course load. | During your registration appointment, you'll meet with an Accessibility Advisor who will review your medical documentation with you to discuss the impact of your disability(ies), your learning needs, essential requirements of your program of study, and any previous academic accommodations.",context/OCAD_University.txt,,
OCAD University,transition_program,Transition programme,"Structured support for entering students, including orientation programmes and high-school-to-university transition programmes.","During your registration appointment, you'll meet with an Accessibility Advisor who will review your medical documentation with you to discuss the impact of your disability(ies), your learning needs, essential requirements of your program of study, and any previous academic accommodations. | Enrolled in an OSAP-approved program._x000B__x000B_ | Support for learning, mental health, and temporary conditions",context/OCAD_University.txt,,
Ontario Tech University,format_large_print,Large print materials,Enlarged-text versions of course materials.,"Alternate formats: audio, large print, Braille, PDFs | Alternate formats: audio, large print, PDFs",context/Ontario_Tech_University.txt,,
Ontario Tech University,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Intake sessions | Approved Program of Study: You must be registered in an OSAP-approved program that leads to a degree, diploma, or certificate. Most undergraduate and graduate programs at Ontario Tech are approved for OSAP. | Eligible Course Load: Your registration must meet the minimum requirements for either full-time or part-time OSAP.",context/Ontario_Tech_University.txt,,
Ontario Tech University,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Personalized accommodation plans each term | A verification of accommodations form indicating whether or not you received disability accommodations (e.g. accommodation plan, IEP, IPRC, etc.). This form must be completed by an authorized professional and can be submitted either directly by the institution or by you. | Citizenship/Status: You must be a Canadian citizen, Permanent Resident of Canada, or a Protected Person. International students are not eligible for OSAP.",context/Ontario_Tech_University.txt,,
Queen's University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Therapy groups | Individualized accommodation plans under ADA/Section 504 | An approved program is one which has (a) obtained the Minister’s approval for General Purpose Operating Grants (GPOG) through the Ministry of Colleges and Universities, and (b) there is a full-time equivalent of the program offered by the university.",context/Queen_s_University.txt,,
Queen's University,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Extra time, scheduled breaks, private exam spaces | Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""""""",context/Queen_s_University.txt,,
Queen's University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""",context/Queen_s_University.txt,,
Queen's University,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.","Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""",context/Queen_s_University.txt,,
Queen's University,screen_reader,Screen readers,Screen reading software named specifically.,"Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids . | Assistive technology lab: screen readers, adaptive software/hardware | Assistive technology lab: screen readers, adaptive software",context/Queen_s_University.txt,,
TMU,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss. | Alternate formats: accessible PDFs, audio, large print",context/TMU.txt,,
TMU,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,"Support: flexible deadlines, attendance and exam modifications, rest breaks, accommodation plans tailored to health-related barriers . | Extended time & scheduled breaks for exams",context/TMU.txt,,
TMU,exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Quiet, private or low-sensory exam rooms | Accessible campus spaces (e.g., SLC support) | Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility .",context/TMU.txt,,
TMU,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: accessible PDFs, audio, large print | Support: captioning services, FM systems, assistive audio devices, note-taking support. | Support: adaptive technology like screen readers and magnifiers (e.g., JAWS, Kurzweil 3000), alternative-format documents (large-print, digital), orientation aids .",context/TMU.txt,,
TMU,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,(nothing lexically related -- check the context file),context/TMU.txt,,
Trent University,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Mobility impairments – wheelchair/scooter use, difficulty walking or climbing stairs, temporary injuries | David C. Onley Award for Leadership in Accessibility",context/Trent_University.txt,,
Trent University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Individual Counselling | Ontario Shores Structured Psychotherapy Program | Private Therapy with Student Health Benefits,context/Trent_University.txt,,
Trent University,intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Complete the pre-intake questionnaire - All students who register with SAS begin the formal intake registration process by completing a Pre-Intake Questionnaire. | After you have completed and submitted the questionnaire, you will be contacted by a SAS staff member within 3 to 5 business days to schedule an intake appointment with one of our SAS Advisors. | Thank you in advance for completing the Pre-Intake Questionnaire first.",context/Trent_University.txt,,
Trent University,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Complete the pre-intake questionnaire - All students who register with SAS begin the formal intake registration process by completing a Pre-Intake Questionnaire. | If you have older or incomplete documentation, it is possible that only minimal accommodation can be implemented until more current or complete documentation is provided. | Confidential service; diagnosis not shared with instructors",context/Trent_University.txt,,
Trent University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Support for learning, mental health, and temporary conditions | Support for physical and temporary conditions | Support for Eating Disorders - Sheena's Place",context/Trent_University.txt,,
Trent University,screen_reader,Screen readers,Screen reading software named specifically.,(nothing lexically related -- check the context file),context/Trent_University.txt,,
Trent University (Durham GTA),accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Exam support: extra time, breaks, quiet/private rooms | Ontario Resident: You must be an Ontario resident. This is typically defined by having lived in Ontario for the past 12 consecutive months, not including time spent as a full-time post-secondary student. | Citizenship/Status: You must be a Canadian citizen, Permanent Resident of Canada, or a Protected Person. International students are not eligible for OSAP.",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,"This questionnaire is designed to connect you with an appropriate SAS Advisor, and helps us to anticipate questions or concerns that you may have prior to your first appointment.",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),counselling_individual,Individual counselling,One-to-one counselling or therapy.,Individual Counselling | Ontario Shores Structured Psychotherapy Program | Private Therapy with Student Health Benefits,context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,(nothing lexically related -- check the context file),context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Exam support: extra time, breaks, quiet/private rooms",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),exam_private_room,Private or quiet exam room,"Writing in a separate, private, individual or reduced-distraction space.","Exam support: extra time, breaks, quiet/private rooms | Individual Counselling | Confidential service; functional needs shared with faculty, diagnosis kept private",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Interim accommodations for temporary issues (e.g., concussion) | Complete the pre-intake questionnaire - All students who register with SAS begin the formal intake registration process by completing a Pre-Intake Questionnaire. | If you have older or incomplete documentation, it is possible that only minimal accommodation can be implemented until more current or complete documentation is provided.",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"SAS office supports via phone/email and coordinates with faculty | Assistive tech support: screen readers, adaptive software | Exam support: extra time, breaks, quiet/private rooms",context/Trent_University_Durham_GTA.txt,,
Trent University (Durham GTA),realtime_captioning,Real-time captioning,Live captioning or CART transcription of spoken content.,"Lifetime Funding Limit: You must not have exceeded the lifetime limit of student loan funding (typically 340 weeks for most students, 400 weeks for doctoral studies, or up to 520 weeks for students with a permanent disability). | SAS Disability Documentation Form or a psycho-educational/psychological assessment (completed in-person and within the past 5 years, unless the student was at least 18 years of age at the time of assessment). | Ontario Resident: You must be an Ontario resident. This is typically defined by having lived in Ontario for the past 12 consecutive months, not including time spent as a full-time post-secondary student.",context/Trent_University_Durham_GTA.txt,,
University of Guelph,asl_interpretation,ASL / sign language interpretation,Sign language interpreters for classes or meetings.,"If you are already registered and assigned an SAS Advisor, log in to the SAS student portal, then click on ""additional documentation"" on the left.",context/University_of_Guelph.txt,,
University of Guelph,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Ensure your documentation is a PDF. If there are multiple pages in the document, please ensure all pages are in the same file. You can scan paper documents with an app on your phone. We recommend searching the App Store or Google Play for a PDF scanner such as Adobe Scan for Android and iOS (free). | If you do not have any items under ""list of applications submitted"" or none that are ""new,"" then click on ""Submit Additional Documentation"". | One-on-one advisor support and peer coaching",context/University_of_Guelph.txt,,
University of Guelph,exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Extra time, breaks, and quiet rooms for exams",context/University_of_Guelph.txt,,
University of Guelph,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Orientation programs (START Accessible), peer mentoring, coaching for academic and life skills | One-on-one advisor support and peer coaching | Orientation & Peer Assistance",context/University_of_Guelph.txt,,
University of Guelph,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Request Your Accommodations - Once registered with SAS, go to the SAS Portal to send your accommodation letters to instructors using the SAS Student Portal . You’ll need to do this every semester for each course. | Submissions will be processed as quickly as possible to ensure fall semester accommodations are in place as soon as possible. | Some restrictions on accommodations may apply depending on academic deadlines throughout each semester.",context/University_of_Guelph.txt,,
University of Guelph,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Part-time OSAP: If you are taking between 20% and 59% of a full course load, you'll apply for part-time OSAP. Students with disabilities taking 40% of a course load have the option to apply for either full-time or part-time OSAP. | Reduced course load options | Students with Disabilities: If you have a permanent, persistent, or prolonged disability, you can be considered a full-time student for OSAP if you are taking at least 40% of a full course load (1.0 credits or more per term for undergraduate students).",context/University_of_Guelph.txt,,
University of Guelph,screen_reader,Screen readers,Screen reading software named specifically.,"Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | Adaptive technology lab (screen readers, others), quiet study rooms with accessibility features | Digital textbooks, screen-reader-friendly content, accessible formats (audio, braille)",context/University_of_Guelph.txt,,
University of Guelph-Humber,accessible_housing,Accessible housing / residence,"The institution provides, reserves, or assists students in obtaining accessible or adapted residence. Any of provision, priority allocation, or help arranging it counts. Does NOT include mentions of housing that make no reference to accessibility.","Adaptive technology lab (screen readers, others), quiet study rooms with accessibility features | Help with accessible housing and campus navigation | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,deadline_extension,Assignment deadline extensions,Flexibility on assignment due dates (distinct from exam time).,"Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | Deadline extensions and flexible attendance | Some restrictions on accommodations may apply depending on academic deadlines throughout each semester.",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,format_accessible_digital,Accessible digital formats,"Screen-reader-compatible PDFs, e-text and other digital alternates.","Digital textbooks, screen-reader-friendly content, accessible formats (audio, braille) | Accessible formats: audio, PDF, large print, Braille | Accessible formats: audio, PDF, large print",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Note-taking, lecture recording, and seating accommodations | Extended exam times, quiet/private rooms, assistive tech (screen readers, speech-to-text), note-taking support, audio recording, flexible deadlines, moderated attendance expectations | The University of Guelph's classification for OSAP purposes is crucial:",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Orientation programs (START Accessible), peer mentoring, coaching for academic and life skills | One-on-one advisor support and peer coaching | Orientation & Peer Assistance",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,personalized_plan,Personalised accommodation plan,An individualised plan agreed with an advisor.,"Request Your Accommodations - Once registered with SAS, go to the SAS Portal to send your accommodation letters to instructors using the SAS Student Portal . You’ll need to do this every semester for each course. | Submissions will be processed as quickly as possible to ensure fall semester accommodations are in place as soon as possible. | Some restrictions on accommodations may apply depending on academic deadlines throughout each semester.",context/University_of_Guelph-Humber.txt,,
University of Guelph-Humber,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Part-time OSAP: If you are taking between 20% and 59% of a full course load, you'll apply for part-time OSAP. Students with disabilities taking 40% of a course load have the option to apply for either full-time or part-time OSAP. | Reduced course load options | Students with Disabilities: If you have a permanent, persistent, or prolonged disability, you can be considered a full-time student for OSAP if you are taking at least 40% of a full course load (1.0 credits or more per term for undergraduate students).",context/University_of_Guelph-Humber.txt,,
University of Ottawa,accessible_buildings,Physically accessible buildings,"The institution states that campus buildings or facilities are physically accessible -- either as a general claim ('accessible buildings/entrances/classrooms') or by naming features (ramps, elevators, automatic doors, accessible washrooms). Does NOT include wayfinding or navigation help that makes no claim about physical accessibility.","Supports Cognitive (ADHD, autism), Mental health (Anxiety, depression), Sensory (Visual impairments), Physical (Wheelchair), Medical (Epilepsy) disabilities. | Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries | All programs offer accommodations (exam time, note-taking, adaptive tech, tailored plans or functional assessments, alternate software/lab access",context/University_of_Ottawa.txt,,
University of Ottawa,bursaries_scholarships,Disability bursaries or scholarships,"Institution-specific bursaries, awards or scholarships for disabled students.",Education Bursary for International Students with Disabilities | Education Bursary for Students with Disabilities,context/University_of_Ottawa.txt,,
University of Ottawa,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"Confidential service; diagnoses not shared with professors | All programs offer accommodations (exam time, note-taking, adaptive tech, tailored plans or functional assessments, alternate software/lab access | Peer note-taking support",context/University_of_Ottawa.txt,,
University of Ottawa,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, Braille, large print, accessible PDFs | Alternate formats: audio, large print, accessible PDFs | Hearing Impairment: Audiology assessment, Academic Accommodations Documentation of Vision or Hearing Impairment (PDF)",context/University_of_Ottawa.txt,,
