university,label,label_name,definition,related_text,context_file,gold,annotator_note
McMaster University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,Full-time: Enrolled in at least 60% of a 100% course load for your program in each term. Co-op work terms are always considered a 100% course load. | Part-time: Enrolled in between 20% and 59% of a 100% course load for your program in each term. | attention-deficit/hyperactivity disorders (ADD/ADHD),context/McMaster_University.txt,,
Queen's University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, Braille, large print, accessible PDFs | Alternate formats: audio, large print, accessible PDFs | Support: captioning services, FM systems, assistive audio devices, note-taking support.",context/Queen_s_University.txt,,
Brock University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large-print, accessible PDFs, Braille | Alternate formats: audio, large-print, accessible PDFs | Able to demonstrate financial need: Your and your family's (if applicable) financial information will be assessed to determine your level of need.",context/Brock_University.txt,,
McMaster University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Alternate formats (large-print, digital text)",context/McMaster_University.txt,,
OCAD University,per_term_renewal,Per-term reactivation required,Accommodations must be renewed or activated each term.,"Accommodations activated each term through online system | Contact Student Accessibility Services to schedule a registration appointment by emailing sas@ocadu.ca or you can also make an appointment in-person, Monday to Friday, 9am to 4pm, at 230 Richmond St. W., located in the Student Wellness Centre on the 6th floor. | An Ontario resident who is a Canadian citizen, permanent resident, or a protected person._x000B__x000B_",context/OCAD_University.txt,,
Lakehead University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, Braille, accessible PDFs | Alternate formats: audio, large print, accessible PDFs | For more information on documentation please visit our webpage on documentation. (If you do not have any documentation, or are unsure if your documentation is sufficient you can skip to Step 2 and connect with SAS to discuss documentation.)",context/Lakehead_University.txt,,
Wilfrid Laurier University,format_audio,Audio format materials,Course materials in audio form.,"Alternate formats: audio, large print, Braille, accessible PDFs | Alternate formats: audio, large print, accessible PDFs | Hearing Disability: Hearing Disability Verification Form, Current audiologist assessment (completed within past year)",context/Wilfrid_Laurier_University.txt,,
University of Toronto Mississauga,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,,context/University_of_Toronto_Mississauga.txt,,
Algoma University,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,,context/Algoma_University.txt,,
Carleton University,accessible_buildings,Physically accessible buildings,"v2: a general accessibility claim now counts. Under v1 ('ramps, elevators, automatic doors, accessible washrooms') near-identical text was judged both ways.","Mobility impairments (e.g., wheelchair/scooter users, difficulty walking, climbing stairs, temporary injuries) | FIVE: Attend your intake appointment - When requesting an intake appointment, you have the options of selecting an in-person or a virtual meeting with a PMC Coordinator. (If you’re attending an in-person intake appointment, please note that the Paul Menton Centre is located in Room 501 of the Nideyinàn Building (NN). | Alternate formats: audio, Braille, accessible PDFs",context/Carleton_University.txt,,
York University (Glendon),counselling_individual,Individual counselling,One-to-one counselling or therapy.,One-on-one support from accessibility counsellors | In-person counselling | Virtual counselling,context/York_University_Glendon.txt,,
York University (Keele),counselling_individual,Individual counselling,One-to-one counselling or therapy.,One-on-one support from accessibility counsellors | In-person counselling | Virtual counselling,context/York_University_Keele.txt,,
York University (Markham),counselling_individual,Individual counselling,One-to-one counselling or therapy.,One-on-one support via accessibility counsellors | In-person counselling | Virtual counselling,context/York_University_Markham.txt,,
University of Ottawa,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Same-day intake appointments | Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries",context/University_of_Ottawa.txt,,
University of Waterloo,counselling_individual,Individual counselling,One-to-one counselling or therapy.,Individualized accommodation plans each term | Single session counselling | Brief counselling,context/University_of_Waterloo.txt,,
McMaster University,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Individual accommodation plans via MySAS portal | OSAP for Full-Time Students and OSAP for Part-Time Students are separate programs and require separate applications. So if you receive full-time OSAP one term and drop to part-time studies the next term, you’ll need to do a new application for part-time OSAP. | Short-term counselling (Indigo Path)",context/McMaster_University.txt,,
Queen's University,reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,Full-time undergraduate students must be taking at least 60% of a full course load (9 credit units in each term of study) or 40% (in each term of study) if the student has an identified permanent disability. No averaging of course loads is permitted | Part-time students must be taking 59% or less of a full course load | Graduate students must be enrolled full-time (100%). Graduate students with a permanent disability may be enrolled part-time (50%),context/Queen_s_University.txt,,
York University (Keele),reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Examples: partial hearing loss, deafness. | Upload an electronic copy of your documentation to our online Registration Questionnaire. Once completed, you will receive a confirmation email acknowledging your submission. | Upload an electronic copy of documentation to the online Registration Questionnaire.",context/York_University_Keele.txt,,
York University (Markham),reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,"Examples: partial hearing loss, deafness. | Upload an electronic copy of your documentation to our online Registration Questionnaire. Once completed, you will receive a confirmation email acknowledging your submission. | Upload an electronic copy of documentation to the online Registration Questionnaire.",context/York_University_Markham.txt,,
Queen's University,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Residential life considerations for accessibility | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""""""",context/Queen_s_University.txt,,
York University (Markham),accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""""""""""""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""""""""",context/York_University_Markham.txt,,
Algoma University,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Accessible campus: ramps, elevators, washrooms, housing | Extra time, breaks, and quiet rooms for exams | A Canadian citizen, Permanent Resident, or Protected Person of Canada. (International students are not eligible for OSAP).",context/Algoma_University.txt,,
Laurentian University,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Accessible campus: ramps, elevators, washrooms, housing | Extra time, breaks, and quiet rooms for exams | Ontario Resident: You must be an Ontario resident. This is generally defined by having lived in Ontario for at least 12 consecutive months, not including time spent as a full-time post-secondary student.",context/Laurentian_University.txt,,
University of Ottawa,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Peer note-taking support | Supports Cognitive (ADHD, autism), Mental health (Anxiety, depression), Sensory (Visual impairments), Physical (Wheelchair), Medical (Epilepsy) disabilities. | be a Canadian citizen, a permanent resident or a protected person and have the appropriate documentation to support this",context/University_of_Ottawa.txt,,
Wilfrid Laurier University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,"Note-taking support from peer volunteers | Meet Your Accessible Learning Consultant - (If Accessible Learning determines you are eligible for support after reviewing your registration form and documentation, we will email your @mylaurier email address about meeting with an Accessible Learning consultant.) | Support for learning, mental health, and temporary conditions",context/Wilfrid_Laurier_University.txt,,
Ontario Tech University,peer_support,Peer support or mentorship programme,Student-to-student mentoring or peer support programme.,Peer coaching and transition workshops available | Support for permanent and temporary disabilities | Assistive tech and adaptive software support,context/Ontario_Tech_University.txt,,
Western University (Affiliated University Colleges),reduced_course_load,Reduced course load,Studying fewer courses per term while keeping full-time status or funding.,All full-time graduate students are assessed for OSAP based on a 100% course load. Part-time students are considered to be registered in a 50% course load. Only graduate students who self-identify as having a permanent disability are eligible for full-time OSAP at this course load. | Undergraduate students who have a permanent disability are eligible if enrolled in at least 40% of a full-time course load per term (the equivalent of at least two half courses per term) | Undergraduate students must be fully-registered student in at least 60% of a full-time course load per term (the equivalent of at least three half courses per term),context/Western_University_Affiliated_University_Colleges.txt,,
Université de l’Ontario français,accessible_housing,Accessible housing / residence,v2: 'help with accessible housing' now counts. v1 ('adapted residence rooms or priority accessible housing') did not say how to treat assistance versus provision.,"Physical accommodations such as accessible entries, elevators, restrooms, and service-animal access | Ontario Resident: You must be an Ontario resident. This is generally defined by having lived in Ontario for the past 12 consecutive months, not including time spent as a full-time post-secondary student. | Citizenship/Status: You must be a Canadian citizen, Permanent Resident of Canada, or a Protected Person. International students are not eligible for OSAP.",context/Université_de_l_Ontario_français.txt,,
TMU,accessible_buildings,Physically accessible buildings,"v2: a general accessibility claim now counts. Under v1 ('ramps, elevators, automatic doors, accessible washrooms') near-identical text was judged both ways.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss. | Alternate formats: accessible PDFs, audio, large print",context/TMU.txt,,
York University (Keele),accessible_buildings,Physically accessible buildings,"v2: a general accessibility claim now counts. Under v1 ('ramps, elevators, automatic doors, accessible washrooms') near-identical text was judged both ways.","Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Examples: wheelchair/scooter users, difficulty navigating stairs or long distances, muscular dystrophy, limb loss. | One-on-one support from accessibility counsellors",context/York_University_Keele.txt,,
