university,label,label_name,definition,related_text,context_file,gold,annotator_note
University of Waterloo,accessible_parking_transit,Accessible parking or transit,"Accessible parking, campus shuttle or paratransit support. Parking listed among a school's accessible campus facilities counts; a permit scheme need not be named.","Accessible housing and campus navigation support | Campus Police (24/7): 519‑888‑4911 | Complete the AccessAbility Services' online application to begin the registration process (this will take approximately 5-10 minutes to complete). If you have a University of Waterloo Verification Form or alternate documentation in your possession, upload it with your application. It's okay if you don’t have documentation. Apply if you believe you need accommodations",context/University_of_Waterloo.txt,,
University of Waterloo,speech_to_text,Speech-to-text / dictation,Voice recognition or dictation tools.,"Assistive tech (screen readers, speech-to-text) | Alternate formats (large-print, digital text)",context/University_of_Waterloo.txt,,
University of Windsor,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.",(nothing lexically related -- check the context file),context/University_of_Windsor.txt,,
University of Windsor,exam_breaks,Breaks during exams,Scheduled or as-needed rest breaks during an assessment.,"Exam accommodations: extra time, breaks, quiet/private rooms, readers/scribes | Exam accommodations: extra time, breaks, quiet/private rooms",context/University_of_Windsor.txt,,
University of Windsor,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"If you do not have up to date documentation you can check out our Documentation Requirements which will give you an idea of what you need in order to be accommodated. | Confidential service; needs shared with faculty, not diagnosis | Fill out and upload documents on the Intake Form.",context/University_of_Windsor.txt,,
University of Windsor,note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",Peer note-taking and lecture recording support,context/University_of_Windsor.txt,,
Université de l’Ontario français,counselling_group,Group counselling or workshops,"Group therapy, support groups or wellbeing workshops.","Academic supports including alternative formats, exam accommodations, assistive technologies | Supports students with permanent or temporary disabilities | Personalized and confidential support plans",context/Université_de_l_Ontario_français.txt,,
Université de l’Ontario français,counselling_individual,Individual counselling,One-to-one counselling or therapy.,"Citizenship/Status: You must be a Canadian citizen, Permanent Resident of Canada, or a Protected Person. International students are not eligible for OSAP. | Personalized and confidential support plans | personality disorders",context/Université_de_l_Ontario_français.txt,,
Université de l’Ontario français,interim_without_documentation,Interim accommodation without full documentation,Temporary support available before or without formal diagnosis paperwork.,"Email communications@uontario.ca for document information. | Physical accommodations such as accessible entries, elevators, restrooms, and service-animal access | Academic supports including alternative formats, exam accommodations, assistive technologies",context/Université_de_l_Ontario_français.txt,,
Western University (Affiliated University Colleges),note_taking,Note-taking support,"Peer or professional note-takers, or provided lecture notes.",Peer note-taking and lecture recording available,context/Western_University_Affiliated_University_Colleges.txt,,
Wilfrid Laurier University,confidentiality,Confidentiality / no diagnosis disclosure,Diagnosis need not be disclosed to instructors; service is confidential.,"Confidential and personalized service | Registration and Documentation - (Review Disability Documentation Requirements - If applicable, review Interim Accommodations, UW Double Degree, or Service Animals. - Complete the Accessible Learning Registration Form - Submit your documentation. - Promptly respond to messages from Accessible Learning in your myLaurier inbox about next steps.) | Learning Disability: Learning Disability Documentation Requirements PDF, Psycho-educational assessment (completed using Adult Measures)",context/Wilfrid_Laurier_University.txt,,
Wilfrid Laurier University,counselling_same_day,Same-day or walk-in counselling,"Urgent, drop-in or same-day access to a counsellor.","Wheelchair/scooter use, difficulty walking or climbing stairs, long-distance mobility issues, temporary injuries | Laurier University offers virtual/on-site short-term or goal-directed counselling services",context/Wilfrid_Laurier_University.txt,,
York University (Glendon),lecture_recording,Lecture recording,Permission or equipment to record lectures.,"Support: accessible buildings and classrooms, seating accommodations, mobility on campus, photocopy assistance for those with limited mobility . | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources."""""" | Support: temporary exam adjustments, classroom seating changes, provision of mobility aids and note-taking resources.""""",context/York_University_Glendon.txt,,
York University (Keele),intake_meeting,Intake meeting required to register,Registration requires an appointment or intake interview.,"Upload an electronic copy of your documentation to our online Registration Questionnaire. Once completed, you will receive a confirmation email acknowledging your submission. | register in an OSAP-approved degree program. Most degree programs at York are OSAP approved. | Upload an electronic copy of documentation to the online Registration Questionnaire.",context/York_University_Keele.txt,,
